ID	Gender	Age	Race	What is the person doing	Group	Number of people in the group	Where was the person sleeping/ observed?	Street Name	Area	X               GPS Co ordinate	Y                  GPS Co ordinate
B3112	Female	26-35	Coloured	Sleeping	Yes	14	Train Station	Palmyra Road	Claremont	18,4673379	-33,98151616
B3115	Male	26-35	Coloured	Sleeping	Yes	14	Train Station	Palmyra Road	Claremont	18,4673379	-33,98151616
B3116	Male	36-45	Coloured	Sleeping	Yes	14	Train Station	Palmyra Road	Claremont	18,4673379	-33,98151616
B3117	Male	46-55	Coloured	Sleeping	Yes	14	Train Station	Palmyra Road	Claremont	18,4673379	-33,98151616
B364	Male	26-35	Coloured	Sleeping	Yes	14	Train Station	Palmyra Road	Claremont	18,4673379	-33,98151616
B365	Female	26-35	Coloured	Sleeping	Yes	14	Train Station	Palmyra Road	Claremont	18,4673379	-33,98151616
B366	Male	36-45	Coloured	Sleeping	Yes	14	Train Station	Palmyra Road	Claremont	18,4673379	-33,98151616
B3611	Male	26-35	Coloured	Strolling	Yes	14	Train Station	Palmyra Road	Claremont	18,4673379	-33,98151616
B321	Male	36-45	Black African	Sitting	Yes	14	Bus Terminus	Main Road	Claremont	18,4650933	-33,98065125
B324	Male	36-45	Coloured	Skarelling	Yes	14	Bus Terminus	Main Road	Claremont	18,4650933	-33,98065125
B325	Male	36-45	Coloured	Skarelling	Yes	14	Bus Terminus	Main Road	Claremont	18,4650933	-33,98065125
B326	Male	56-65	Black African	Skarelling	Yes	14	Bus Terminus	Main Road	Claremont	18,4650933	-33,98065125
B327	Male	36-45	Black African	Skarelling	Yes	14	Bus Terminus	Main Road	Claremont	18,4650933	-33,98065125
B328	Female	36-45	Coloured	Skarelling	Yes	14	Bus Terminus	Main Road	Claremont	18,4650933	-33,98065125
B329	Male	26-35	Black African	Skarelling	Yes	14	Bus Terminus	Main Road	Claremont	18,4650933	-33,98065125
B3210	Male	26-35	Coloured	Skarelling	Yes	14	Bus Terminus	Main Road	Claremont	18,4650933	-33,98065125
B322	Male	36-45	Black African	Sleeping	Yes	14	Bus Terminus	Main Road	Claremont	18,4650933	-33,98065125
B323	Male	26-35	Coloured	Strolling	Yes	14	Bus Terminus	Main Road	Claremont	18,4650933	-33,98065125
B367	Male	26-35	Coloured	Strolling	Yes	14	Bus Terminus	Main Road	Claremont	18,4650933	-33,98065125
B368	Female	36-45	Coloured	Strolling	Yes	14	Bus Terminus	Main Road	Claremont	18,4650933	-33,98065125
B369	Male	26-35	Coloured	Strolling	Yes	14	Bus Terminus	Main Road	Claremont	18,4650933	-33,98065125
B3610	Male	26-35	Coloured	Strolling	Yes	14	Bus Terminus	Main Road	Claremont	18,4650933	-33,98065125
B3118	Male	66+	Coloured	Sleeping	Yes	5	Pavement	Main Road	Claremont	18,46516904	-33,98141354
B3120	Male	36-45	Coloured	Sleeping	Yes	5	Pavement	Main Road	Claremont	18,46516904	-33,98141354
B3121	Male	46-55	Black African	Sleeping	Yes	5	Pavement	Main Road	Claremont	18,46516904	-33,98141354
B3122	Male	36-45	Coloured	Sleeping	Yes	5	Pavement	Main Road	Claremont	18,46516904	-33,98141354
B3119	Female	36-45	Coloured	Strolling	Yes	5	Pavement	Main Road	Claremont	18,46516904	-33,98141354
B3123	Male	36-45	Coloured	Sitting	Yes	3	Pavement	Main Road	Claremont	18,46526599	-33,98213033
B3124	Male	36-45	Black African	Sitting	Yes	3	Pavement	Main Road	Claremont	18,46526599	-33,98213033
B3125	Male	36-45	White	Sleeping	Yes	3	Pavement	Main Road	Claremont	18,46526599	-33,98213033
P9413	Male	26-35	Black African	Job Seeker	No	1	Bush	Spean Schemat River Road	Nova Constantia	18,43156618	-34,04145278
P9414	Male	26-35	Black African	Job Seeker	No	1	Bush	Spean Schemat River Road	Nova Constantia	18,43156618	-34,04145278
P9412	Male	26-35	Black African	Job Seeker	No	1	Pavement	Summit Way	Nova Constantia	18,43191266	-34,03666066
Y512	Female	26-35	Coloured	Sleeping	No	1	Park	Brommersvlei Road	Alphen	18,44204601	-34,01320603
Y511	Male	36-45	Coloured	Sleeping	No	1	Park	Brommersvlei Road	Alphen	18,44206991	-34,01325074
Y514	Male	46-55	Black African	Strolling	No	1	Park	Brommaert Avenue	Alphen	18,44510738	-34,01174667
Y513	Male	56-65	Black African	Strolling	No	1	Park	Brommaert Avenue	Alphen	18,44526977	-34,01174812
Y515	Male	36-45	Black African	Skarelling	No	1	Park	Brommaert Avenue	Alphen	18,44536992	-34,01175648
P934	Female	26-35	Coloured	Skarelling	No	1	Under Bridge	Klein Constantia Road	Nova Constantia	18,41903511	-34,03786371
P941	Male	36-45	Coloured	Skarelling	No	1	Under Bridge	Klein Constantia Road	Nova Constantia	18,41903511	-34,03786371
P942	Male	36-45	Coloured	Skarelling	No	1	Bush	Klein Constantia Road	Nova Constantia	18,41903511	-34,03786371
P943	Male	26-35	Coloured	Strolling	No	1	Bush	Klein Constantia Road	Nova Constantia	18,41903511	-34,03786371
P948	Male	36-45	Coloured	Sitting	No	1	Bush	Nova Constantia Road	Nova Constantia	18,42713886	-34,04126707
P945	Male	26-35	Coloured	Skarelling	No	1	Bush	Nova Constantia Road	Nova Constantia	18,42713886	-34,04126707
